date,account,cycle_day,usage_status,notes
2026-03-31,dinp,mid-week,session 21% / weekly 39% all-models / 4% sonnet,healthy - resets Thu 5PM. No extra usage enabled.
2026-03-31,kindsys,mid-week,session 0% / weekly 30% all-models / 7% sonnet,OVERAGE: extra usage $153.45/$150 (102%). Auto-reload on. Downgrading to Pro Apr 4. Extra usage stopped.
2026-03-31,mediajunkie,mid-week,session 0% / weekly 7% all-models / 0% sonnet,extra usage $80.40/$200 (40%). Balance $8.39 auto-reload off. Canceling Apr 15. Low utilization - overflow capacity.
2026-04-02,dinp,7/31,58% weekly (5% sonnet) - extra usage OFF,"Up from 39% Mar 31. Session 29%. Renews Apr 26. $100/mo Visa ····1274"
2026-04-02,kindsys,29/31,44% weekly (5% sonnet) - extra usage ON $0 spent,"Overage cycle closed. $24.99 prepaid credit. Downgrades to Pro Apr 4. MC ····5835"
2026-04-02,mediajunkie,18/31,8% weekly (0% sonnet) - extra usage ON $0 spent,"Barely used. $8.39 balance auto-reload OFF. Cancels Apr 15. -$98.16 proration credit Mar 15"
2026-04-07,kindsys,5/31,25% weekly - extra usage ON $34.92 spent,Pro plan. Session 23%. $150 cap $10.07 balance. Auto-reload on. Watch spend rate.
2026-04-07,dinp,12/31,46% weekly (3% sonnet) - extra usage ON $0 spent,Session 45%. Resets Thu 7PM. $100 cap. Auto-reload off. Healthy.
2026-04-07,mediajunkie,21/31,2% weekly (0% sonnet) - extra usage ON $0 spent,Max 5x. Barely used. $200 cap $108.39 balance. Auto-reload off. Cancels Apr 15.
2026-04-09,designinproduct.com,5x Max,72%,71%,4%,ON,$22.86/$100,$77.13,resets 11hr,Weekly reset tonight
2026-04-09,kindsys.us,5x Max,28%,31%,0%,ON,$80.30/$150,$64.68,resets Sat 12PM,OpenLaws sprint; extra usage high but pre-dates Max upgrade
2026-04-09,mediajunkie.com,5x Max,0%,3%,0%,ON,$0/$200,$108.39,resets Mon 7AM,Dormant - cancels Apr 15
2026-04-12,dinp,Max 20x,6%,weekly,$200.15 extra (100% of $200 cap),session resets 3h48m
2026-04-12,kindsys,Max 5x,0%,weekly (idle),$80.30 extra (54% of $150 cap),resets Wed 7AM
2026-04-12,mediajunkie,Max 5x,3%,weekly,$0 extra (0% of $200 cap),resets 23h47m
2026-04-14,dinp,Max 20x,46%,weekly (resets Sat 6PM),$200.15 extra (100% of $200 cap; resets May 1),session 24% / resets 1h8m; Sonnet-only 2%; balance $32.90
2026-04-14,kindsys,Max 5x,10%,weekly (resets Mon 8AM),$80.30 extra (54% of $150 cap; resets May 1),session 0%; Sonnet-only 0%; balance $64.68; OpenLaws driving light use
2026-04-14,mediajunkie,Max 5x,0%,weekly (reset since Apr 12),$0 extra (0% of $200 cap),session 0%; Sonnet never used; balance $108.39; auto-reload off; sub auto-cancels Apr 15; separate API-credit warning observed
2026-04-17,dinp,Max 20x,6%,weekly (resets Thu 3PM),$200.15 extra (100% of $200 cap; resets May 1),session 7% / resets 4h1m; Sonnet-only 0%; routines 1/15; balance $32.90
2026-04-17,kindsys,Max 5x,0%,weekly (starts when msg sent),$98.84 extra (66% of $150 cap; resets May 1),session 0%; Sonnet never used; routines 0/15; balance $46.14
2026-04-25,dinp,Max 20x,12%,weekly (resets Wed 9PM),$200.15 extra (100% of $200 cap; resets May 1),session 17% / resets 1h55m; Sonnet 0%; routines 1/15; balance $32.90; auto-reload ON
2026-04-25,kindsys,Max 5x,27%,weekly (resets Fri 6AM),$151.85 extra (101% of $150 cap; resets May 1),session 0%; Sonnet 0%; routines 0/15; balance $14.46; auto-reload ON; OpenLaws sprint starting Monday will increase Kind-side burn
2026-04-28,dinp,Max 20x,63%,weekly (resets Wed 9PM),$200.15 extra (100% of $200 cap; resets May 1),session 5% / resets 3h23m; Sonnet 2%; routines 1/15; balance $32.90; auto-reload ON; weekly jumped from 12% Sat
2026-04-28,kindsys,Max 5x,53%,weekly (resets Fri 6AM),$151.85 extra (101% of $150 cap; resets May 1),session 0%; Sonnet 2%; routines 0/15; balance $14.46; auto-reload ON; weekly jumped from 27% Sat (DK active over weekend)
2026-05-02,dinp,Max 20x,12%,weekly (resets Wed 9PM),$0 extra (0% of $200 cap; resets Jun 1),POST-RESET; session 7% / resets 3h18m; Sonnet 1%; Claude Design 21%; routines 1/15; balance $32.90; auto-reload ON
2026-05-02,kindsys,Max 20x,6%,weekly (resets Fri 6AM),$0 extra (0% of $200 cap; resets Jun 1),POST-RESET + UPGRADED to Max 20x from Max 5x; session 0%; Sonnet 0%; routines 0/15; balance $6.34 (thin); auto-reload ON
2026-05-05,dinp,Max 20x,48%,weekly (resets Wed 9PM),$0 extra (0% of $200 cap; resets Jun 1),session 3% / resets 3h25m; Sonnet 2%; Claude Design 21%; routines 0/15; balance $32.92; auto-reload ON
2026-05-05,kindsys,Max 20x,19%,weekly (resets Fri 5:59AM),$0 extra (0% of $200 cap; resets Jun 1),session 24% / resets 3m; Sonnet 0%; routines 0/15; balance $6.35; auto-reload ON
